,Unnamed: 0,height,father,mother,gender,kids
0,0,73.2,78.5,67.0,0,4
1,1,69.2,78.5,67.0,1,4
2,2,69.0,78.5,67.0,1,4
3,3,69.0,78.5,67.0,1,4
4,4,73.5,75.5,66.5,0,4
5,5,72.5,75.5,66.5,0,4
6,6,65.5,75.5,66.5,1,4
7,7,65.5,75.5,66.5,1,4
8,8,71.0,75.0,64.0,0,2
9,9,68.0,75.0,64.0,1,2
10,10,70.5,75.0,64.0,0,5
11,11,68.5,75.0,64.0,0,5
12,12,67.0,75.0,64.0,1,5
13,13,64.5,75.0,64.0,1,5
14,14,63.0,75.0,64.0,1,5
15,15,72.0,75.0,58.5,0,6
16,16,69.0,75.0,58.5,0,6
17,17,68.0,75.0,58.5,0,6
18,18,66.5,75.0,58.5,1,6
19,19,62.5,75.0,58.5,1,6
20,20,62.5,75.0,58.5,1,6
21,21,69.5,74.0,68.0,1,1
22,22,76.5,74.0,68.0,0,6
23,23,74.0,74.0,68.0,0,6
24,24,73.0,74.0,68.0,0,6
25,25,73.0,74.0,68.0,0,6
26,26,70.5,74.0,68.0,1,6
27,27,64.0,74.0,68.0,1,6
28,28,70.5,74.0,66.5,1,3
29,29,68.0,74.0,66.5,1,3
30,30,66.0,74.0,66.5,1,3
31,31,66.0,74.5,66.0,1,1
32,32,65.5,74.0,65.5,1,1
33,33,74.0,74.0,62.0,0,8
34,34,70.0,74.0,62.0,0,8
35,35,68.0,74.0,62.0,1,8
36,36,67.0,74.0,62.0,1,8
37,37,67.0,74.0,62.0,1,8
38,38,66.0,74.0,62.0,1,8
39,39,63.5,74.0,62.0,1,8
40,40,63.0,74.0,62.0,1,8
41,41,65.0,74.0,61.0,1,1
42,42,68.0,73.0,67.0,0,2
43,43,67.0,73.0,67.0,0,2
44,44,71.0,73.0,66.5,0,3
45,45,70.5,73.0,66.5,0,3
46,46,66.7,73.0,66.5,1,3
47,47,72.0,73.0,65.0,0,9
48,48,70.5,73.0,65.0,0,9
49,49,70.2,73.0,65.0,0,9
50,50,70.2,73.0,65.0,0,9
51,51,69.2,73.0,65.0,0,9
52,52,68.7,73.0,65.0,1,9
53,53,66.5,73.0,65.0,1,9
54,54,64.5,73.0,65.0,1,9
55,55,63.5,73.0,65.0,1,9
56,56,74.0,73.0,64.5,0,6
57,57,73.0,73.0,64.5,0,6
58,58,71.5,73.0,64.5,0,6
59,59,62.5,73.0,64.5,0,6
60,60,66.5,73.0,64.5,1,6
61,61,62.3,73.0,64.5,1,6
62,62,66.0,73.0,64.0,1,3
63,63,64.5,73.0,64.0,1,3
64,64,64.0,73.0,64.0,1,3
65,65,62.7,73.2,63.0,1,1
66,66,73.2,72.7,69.0,0,8
67,67,73.0,72.7,69.0,0,8
68,68,72.7,72.7,69.0,0,8
69,69,70.0,72.7,69.0,1,8
70,70,69.0,72.7,69.0,1,8
71,71,68.5,72.7,69.0,1,8
72,72,68.0,72.7,69.0,1,8
73,73,66.0,72.7,69.0,1,8
74,74,73.0,72.0,68.0,0,3
75,75,68.5,72.0,68.0,1,3
76,76,68.0,72.0,68.0,1,3
77,77,73.0,72.0,67.0,0,3
78,78,71.0,72.0,67.0,0,3
79,79,67.0,72.0,67.0,1,3
80,80,74.2,72.0,65.0,0,7
81,81,70.5,72.0,65.0,0,7
82,82,69.5,72.0,65.0,0,7
83,83,66.0,72.0,65.0,1,7
84,84,65.5,72.0,65.0,1,7
85,85,65.0,72.0,65.0,1,7
86,86,65.0,72.0,65.0,1,7
87,87,65.5,72.0,65.5,1,1
88,88,66.0,72.0,64.0,1,2
89,89,63.0,72.0,64.0,1,2
90,90,70.5,72.0,63.0,0,5
91,91,70.5,72.0,63.0,0,5
92,92,69.0,72.0,63.0,0,5
93,93,65.0,72.0,63.0,1,5
94,94,63.0,72.0,63.0,1,5
95,95,69.0,72.0,63.0,0,3
96,96,67.0,72.0,63.0,0,3
97,97,63.0,72.0,63.0,1,3
98,98,73.0,72.0,63.0,0,6
99,99,67.0,72.0,63.0,0,6
100,100,70.5,72.0,63.0,1,6
101,101,70.0,72.0,63.0,1,6
102,102,66.5,72.0,63.0,1,6
103,103,63.0,72.0,63.0,1,6
104,104,67.5,72.5,63.5,1,3
105,105,67.2,72.5,63.5,1,3
106,106,66.7,72.5,63.5,1,3
107,107,64.0,72.0,62.0,1,1
108,108,71.0,72.5,62.0,0,6
109,109,70.0,72.5,62.0,0,6
110,110,70.0,72.5,62.0,0,6
111,111,66.0,72.5,62.0,1,6
112,112,65.0,72.5,62.0,1,6
113,113,65.0,72.5,62.0,1,6
114,114,74.0,72.0,62.0,0,5
115,115,72.0,72.0,62.0,0,5
116,116,69.0,72.0,62.0,0,5
117,117,67.5,72.0,62.0,1,5
118,118,63.5,72.0,62.0,1,5
119,119,72.0,72.0,62.0,0,5
120,120,71.5,72.0,62.0,0,5
121,121,71.5,72.0,62.0,0,5
122,122,70.0,72.0,62.0,0,5
123,123,68.0,72.0,62.0,1,5
124,124,65.7,72.0,61.0,1,1
125,125,78.0,71.0,69.0,0,5
